Country/Region;date;deaths;recovered;cases;number of infections per million inhabitants;number of deaths per million inhabitants;number of recovered per million inhabitants;deaths cases previous day ratio;hundred cases;day since 100 cases;1000 cases;day since 1000 cases;growth rate 1 day;growth rate 2 days;growth rate 7 days;proportion growth rate 1 day;proportion growth rate 2 days;proportion growth rate 7 days;population;population density;area;median age;urban population;continent;health care spending - government schemes and compulsory contributory health care financing schemes;health care spending - voluntary health care payment schemes;health care spending - out of pocket spending;health care spending - rest of the world financing schemes (non-resident);health care spending - Unspecified financing schemes (n.e.c.);GDP measured by PPP index
afghanistan;22/01/2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38928346;60;652860;18;0,25;Asia;10,95927697;10,66571731;75,48257831;2,89242741;NA;NA
afghanistan;23/01/2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38928346;60;652860;18;0,25;Asia;10,95927697;10,66571731;75,48257831;2,89242741;NA;NA
afghanistan;24/01/2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38928346;60;652860;18;0,25;Asia;10,95927697;10,66571731;75,48257831;2,89242741;NA;NA
afghanistan;25/01/2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38928346;60;652860;18;0,25;Asia;10,95927697;10,66571731;75,48257831;2,89242741;NA;NA
afghanistan;26/01/2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38928346;60;652860;18;0,25;Asia;10,95927697;10,66571731;75,48257831;2,89242741;NA;NA
afghanistan;27/01/2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38928346;60;652860;18;0,25;Asia;10,95927697;10,66571731;75,48257831;2,89242741;NA;NA
afghanistan;28/01/2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38928346;60;652860;18;0,25;Asia;10,95927697;10,66571731;75,48257831;2,89242741;NA;NA
afghanistan;29/01/2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38928346;60;652860;18;0,25;Asia;10,95927697;10,66571731;75,48257831;2,89242741;NA;NA
afghanistan;30/01/2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38928346;60;652860;18;0,25;Asia;10,95927697;10,66571731;75,48257831;2,89242741;NA;NA
afghanistan;31/01/2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38928346;60;652860;18;0,25;Asia;10,95927697;10,66571731;75,48257831;2,89242741;NA;NA
afghanistan;01/02/2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38928346;60;652860;18;0,25;Asia;10,95927697;10,66571731;75,48257831;2,89242741;NA;NA
afghanistan;02/02/2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38928346;60;652860;18;0,25;Asia;10,95927697;10,66571731;75,48257831;2,89242741;NA;NA
afghanistan;03/02/2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38928346;60;652860;18;0,25;Asia;10,95927697;10,66571731;75,48257831;2,89242741;NA;NA
afghanistan;04/02/2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38928346;60;652860;18;0,25;Asia;10,95927697;10,66571731;75,48257831;2,89242741;NA;NA
afghanistan;05/02/2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38928346;60;652860;18;0,25;Asia;10,95927697;10,66571731;75,48257831;2,89242741;NA;NA
afghanistan;06/02/2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38928346;60;652860;18;0,25;Asia;10,95927697;10,66571731;75,48257831;2,89242741;NA;NA
afghanistan;07/02/2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38928346;60;652860;18;0,25;Asia;10,95927697;10,66571731;75,48257831;2,89242741;NA;NA
afghanistan;08/02/2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38928346;60;652860;18;0,25;Asia;10,95927697;10,66571731;75,48257831;2,89242741;NA;NA
afghanistan;09/02/2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38928346;60;652860;18;0,25;Asia;10,95927697;10,66571731;75,48257831;2,89242741;NA;NA
afghanistan;10/02/2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38928346;60;652860;18;0,25;Asia;10,95927697;10,66571731;75,48257831;2,89242741;NA;NA
afghanistan;11/02/2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38928346;60;652860;18;0,25;Asia;10,95927697;10,66571731;75,48257831;2,89242741;NA;NA
