,Province/State,Country/Region,Lat,Long,date,confirmed_cases,deaths_cases,recovered_cases,Anual Average Temperature (C),Anual Average High Temperature (C),Anual Average Low Temperature (C),Month Average Temperature (C),Month Average High Temperature (C),Month Average Low Temperature (C)
0,,Afghanistan,33,65,1/22/20,0,0,0,14.05555556,22.27777778,8.055555556,0.888888889,8.055555556,-3.555555556
1,,Albania,41.1533,20.1683,1/22/20,0,0,0,14.16666667,19.16666667,11.22222222,5.888888889,10,4.166666667
2,,Algeria,28.0339,1.6596,1/22/20,0,0,0,17.44444444,24,12.22222222,9.166666667,14.88888889,4.555555556
3,,Andorra,42.5063,1.5218,1/22/20,0,0,0,5.666666667,10.22222222,1,-1.277777778,2.222222222,-5.055555556
4,,Angola,-11.2027,17.8739,1/22/20,0,0,0,21.27777778,27.77777778,15.88888889,22.38888889,27.88888889,17.83333333
5,,Antigua and Barbuda,17.0608,-61.7964,1/22/20,0,0,0,26.44444444,28.55555556,23.88888889,24.61111111,27.22222222,22.33333333
6,,Argentina,-38.4161,-63.6167,1/22/20,0,0,0,17.38888889,22.83333333,10.27777778,23.83333333,29.66666667,16.33333333
7,,Armenia,40.0691,45.0382,1/22/20,0,0,0,7.055555556,13.94444444,0.388888889,-6.277777778,0.055555556,-12.22222222
8,Australian Capital Territory,Australia,-35.4735,149.0124,1/22/20,0,0,0,17.44444444,23.44444444,11.61111111,23,29.44444444,16.77777778
9,New South Wales,Australia,-33.8688,151.2093,1/22/20,0,0,0,17.44444444,23.44444444,11.61111111,23,29.44444444,16.77777778
10,Northern Territory,Australia,-12.4634,130.8456,1/22/20,0,0,0,17.44444444,23.44444444,11.61111111,23,29.44444444,16.77777778
11,Queensland,Australia,-28.0167,153.4,1/22/20,0,0,0,17.44444444,23.44444444,11.61111111,23,29.44444444,16.77777778
12,South Australia,Australia,-34.9285,138.6007,1/22/20,0,0,0,17.44444444,23.44444444,11.61111111,23,29.44444444,16.77777778
13,Tasmania,Australia,-41.4545,145.9707,1/22/20,0,0,0,17.44444444,23.44444444,11.61111111,23,29.44444444,16.77777778
14,Victoria,Australia,-37.8136,144.9631,1/22/20,0,0,0,17.44444444,23.44444444,11.61111111,23,29.44444444,16.77777778
15,Western Australia,Australia,-31.9505,115.8605,1/22/20,0,0,0,17.44444444,23.44444444,11.61111111,23,29.44444444,16.77777778
16,,Austria,47.5162,14.5501,1/22/20,0,0,0,7,12.33333333,3,-2.666666667,1.444444444,-5.611111111
17,,Azerbaijan,40.1431,47.5769,1/22/20,0,0,0,13,17.33333333,7,1,4.111111111,-4.222222222
18,,Bahamas,25.0343,-77.3963,1/22/20,0,0,0,24.83333333,28.5,21.88888889,21.55555556,24.94444444,18.55555556
19,,Bahrain,26.0275,50.55,1/22/20,0,0,0,25.83333333,29.61111111,23.38888889,16.11111111,18.88888889,14.16666667
20,,Bangladesh,23.685,90.3563,1/22/20,0,0,0,25.33333333,29.94444444,20.72222222,18.66666667,25.16666667,12.22222222
21,,Belize,13.1939,-59.5432,1/22/20,0,0,0,,,,,,
22,,Belarus,53.7098,27.9534,1/22/20,0,0,0,5.944444444,10.94444444,2.5,-6.333333333,-2,-7.722222222
23,,Belgium,50.8333,4,1/22/20,0,0,0,9.333333333,13.05555556,5.555555556,1.777777778,4.222222222,-0.666666667
24,,Benin,9.3077,2.3158,1/22/20,0,0,0,26.94444444,32.05555556,22.44444444,26.88888889,33.22222222,21.11111111
25,,Bhutan,27.5142,90.4336,1/22/20,0,0,0,15.61111111,21,10.27777778,7.444444444,13.88888889,1
26,,Bolivia,-16.2902,-63.5887,1/22/20,0,0,0,17.16666667,24.55555556,10.33333333,18.94444444,24.88888889,13.27777778
27,,Bosnia and Herzegovina,43.9159,17.6791,1/22/20,0,0,0,9.888888889,14.11111111,5.888888889,0.222222222,3,-2.666666667
28,,Brazil,-14.235,-51.9253,1/22/20,0,0,0,24.5,30.83333333,19.94444444,25.61111111,31.88888889,21.05555556
29,,Brunei,4.5353,114.7277,1/22/20,0,0,0,27.22222222,30.83333333,23.33333333,26.66666667,29.72222222,23.61111111
30,,Bulgaria,42.7339,25.4858,1/22/20,0,0,0,9.666666667,15.16666667,6.333333333,-0.722222222,3.333333333,-3.388888889
31,,Burkina Faso,12.2383,-1.5616,1/22/20,0,0,0,28.27777778,34.11111111,22.5,24.83333333,32.22222222,18.11111111
32,,Cabo Verde,16.5388,-23.0418,1/22/20,0,0,0,22.66666667,26.66666667,21.11111111,20.55555556,24.66666667,18.61111111
33,,Cambodia,11.55,104.9167,1/22/20,0,0,0,27,32,23.22222222,25.16666667,31.05555556,20.38888889
34,,Cameroon,3.848,11.5021,1/22/20,0,0,0,23.83333333,29,18.94444444,23.72222222,29.83333333,17.5
35,Alberta,Canada,53.9333,-116.5765,1/22/20,0,0,,3.333333333,8.444444444,-1.777777778,-11.05555556,-6.388888889,-15.61111111
36,British Columbia,Canada,49.2827,-123.1207,1/22/20,0,0,,3.333333333,8.444444444,-1.777777778,-11.05555556,-6.388888889,-15.61111111
37,Grand Princess,Canada,37.6489,-122.6655,1/22/20,0,0,,3.333333333,8.444444444,-1.777777778,-11.05555556,-6.388888889,-15.61111111
38,Manitoba,Canada,53.7609,-98.8139,1/22/20,0,0,,3.333333333,8.444444444,-1.777777778,-11.05555556,-6.388888889,-15.61111111
39,New Brunswick,Canada,46.5653,-66.4619,1/22/20,0,0,,3.333333333,8.444444444,-1.777777778,-11.05555556,-6.388888889,-15.61111111
40,Newfoundland and Labrador,Canada,53.1355,-57.6604,1/22/20,0,0,,3.333333333,8.444444444,-1.777777778,-11.05555556,-6.388888889,-15.61111111
41,Nova Scotia,Canada,44.682,-63.7443,1/22/20,0,0,,3.333333333,8.444444444,-1.777777778,-11.05555556,-6.388888889,-15.61111111
42,Ontario,Canada,51.2538,-85.3232,1/22/20,0,0,,3.333333333,8.444444444,-1.777777778,-11.05555556,-6.388888889,-15.61111111
43,Prince Edward Island,Canada,46.5107,-63.4168,1/22/20,0,0,,3.333333333,8.444444444,-1.777777778,-11.05555556,-6.388888889,-15.61111111
44,Quebec,Canada,52.9399,-73.5491,1/22/20,0,0,,3.333333333,8.444444444,-1.777777778,-11.05555556,-6.388888889,-15.61111111
45,Saskatchewan,Canada,52.9399,-106.4509,1/22/20,0,0,,3.333333333,8.444444444,-1.777777778,-11.05555556,-6.388888889,-15.61111111
46,,Central African Republic,6.6111,20.9394,1/22/20,0,0,0,24.88888889,31.61111111,19.33333333,24.61111111,33.16666667,17.27777778
47,,Chad,15.4542,18.7322,1/22/20,0,0,0,27.27777778,35.55555556,20.66666667,23.83333333,34.16666667,15.44444444
48,,Chile,-35.6751,-71.543,1/22/20,0,0,0,12.27777778,17.66666667,8.277777778,16.66666667,22.77777778,11.94444444
49,Anhui,China,31.8257,117.2264,1/22/20,1,0,0,12.94444444,16.61111111,6.166666667,-0.555555556,2.722222222,-7.777777778
50,Beijing,China,40.1824,116.4142,1/22/20,14,0,0,12.94444444,16.61111111,6.166666667,-0.555555556,2.722222222,-7.777777778
51,Chongqing,China,30.0572,107.874,1/22/20,6,0,0,12.94444444,16.61111111,6.166666667,-0.555555556,2.722222222,-7.777777778
52,Fujian,China,26.0789,117.9874,1/22/20,1,0,0,12.94444444,16.61111111,6.166666667,-0.555555556,2.722222222,-7.777777778
53,Gansu,China,37.8099,101.0583,1/22/20,0,0,0,12.94444444,16.61111111,6.166666667,-0.555555556,2.722222222,-7.777777778
54,Guangdong,China,23.3417,113.4244,1/22/20,26,0,0,12.94444444,16.61111111,6.166666667,-0.555555556,2.722222222,-7.777777778
55,Guangxi,China,23.8298,108.7881,1/22/20,2,0,0,12.94444444,16.61111111,6.166666667,-0.555555556,2.722222222,-7.777777778
56,Guizhou,China,26.8154,106.8748,1/22/20,1,0,0,12.94444444,16.61111111,6.166666667,-0.555555556,2.722222222,-7.777777778
57,Hainan,China,19.1959,109.7453,1/22/20,4,0,0,12.94444444,16.61111111,6.166666667,-0.555555556,2.722222222,-7.777777778
58,Hebei,China,39.549,116.1306,1/22/20,1,0,0,12.94444444,16.61111111,6.166666667,-0.555555556,2.722222222,-7.777777778
59,Heilongjiang,China,47.862,127.7615,1/22/20,0,0,0,12.94444444,16.61111111,6.166666667,-0.555555556,2.722222222,-7.777777778
60,Henan,China,33.882,113.614,1/22/20,5,0,0,12.94444444,16.61111111,6.166666667,-0.555555556,2.722222222,-7.777777778
61,Hong Kong,China,22.3,114.2,1/22/20,0,0,0,12.94444444,16.61111111,6.166666667,-0.555555556,2.722222222,-7.777777778
62,Hubei,China,30.9756,112.2707,1/22/20,444,17,28,12.94444444,16.61111111,6.166666667,-0.555555556,2.722222222,-7.777777778
63,Hunan,China,27.6104,111.7088,1/22/20,4,0,0,12.94444444,16.61111111,6.166666667,-0.555555556,2.722222222,-7.777777778
