Continent,Country,Date of First Case(s),Last_Country,Confirmed Case(s) at First Day,Age of First Case(s),Date of First Death(s),Age of First Death(s)
Asia,China,17-Nov-19,China,1,55,No Trace,No Trace
Europe,France,27-Dec-19,N/A,1,43,15-Feb-20,80
Asia,Nepal,13-Jan-20,China,1,32,16-May-20,29
Asia,Thailand,13-Jan-20,China,1,61,01-Mar-20,35
Asia,Japan,16-Jan-20,China,1,30+,13-Feb-20,80+
Asia,South Korea,20-Jan-20,China,1,35,20-Feb-20,63
North America,United States of America,21-Jan-20,China,1,35,06-Feb-20,57
Asia,Taiwan,21-Jan-20,China,1,50,16-Feb-20,61
Asia,Singapore,23-Jan-20,China,1,66,21-Mar-20,"75,64"
Asia,Vietnam,23-Jan-20,China,1,66,No death till 16 May 2020,N/A
Australia,Australia,25-Jan-20,China,4,"50+,50+30+,40+",01-Mar-20,78
Asia,Malaysia,25-Jan-20,China,3,"65,2,11",17-Mar-20,"60,34"
North America,Canada,25-Jan-20,China,1,50+,09-Mar-20,No Trace
Asia,Sri Lanka,27-Jan-20,China,1,43,28-Mar-20,65
Europe,Germany,27-Jan-20,China,1,33,10-Mar-20,"89,78"
Asia,Cambodia,27-Jan-20,China,1,60,No death till 16 May 2020,N/A
Asia,United Arab Emirates,29-Jan-20,China,1,73,20-Mar-20,"78,58"
Asia,Philippines,30-Jan-20,China,1,38,01-Feb-20,44
Asia,India,30-Jan-20,China,1,No Trace,13-Mar-20,76
Europe,Italy,31-Jan-20,China,2,No Trace,22-Feb-20,78
Europe,United Kingdom,31-Jan-20,China,2,"50, 23",05-Mar-20,70+
Europe,Sweden,31-Jan-20,China,1,20,11-Mar-20,70+
Europe,Spain,31-Jan-20,Germany,1,No Trace,13-Feb-20,69
Asia,Russia,31-Jan-20,Iran,2,No Trace,19-Mar-20,79
Europe,Belgium,04-Feb-20,China,1,54,11-Mar-20,"90,73,86"
"Asia, Africa",Egypt,14-Feb-20,China,1,32,08-Mar-20,60
Asia,Iran,19-Feb-20,China,2,No Trace,20-Feb-20,No Trace
Asia,Lebanon,21-Feb-20,Iran,1,45,10-Mar-20,56
Asia,Bahrain,21-Feb-20,United Arab Emirates,1,No Trace,16-Mar-20,65
Asia,Israel,21-Feb-20,Japan ,1,No Trace,18-Apr-20,78
Asia,Iraq,22-Feb-20,Iran,1,No Trace,04-Mar-20,63
Asia,Afghanistan,24-Feb-20,Iran,1,35,26-Feb-20,40
Asia,Kuwait,24-Feb-20,Iran,3,"61,53, No Trace",04-Apr-20,46
Asia,Oman,24-Feb-20,Iran,2,No Trace,31-Mar-20,72
Africa,Algeria,25-Feb-20,Italy,1,Unspecified,12-Mar-20,67
Europe,Austria,25-Feb-20,Italy,2,24,12-Mar-20,69
Europe,Croatia,25-Feb-20,Italy,1,26,16-May-20,70
Europe,Switzerland,25-Feb-20,Italy,1,74,05-Mar-20,74
Europe,Norway,26-Feb-20,China,3,No Trace,12-Mar-20,No Trace
Asia,Pakistan,26-Feb-20,Iran,2,"22, No Trace",20-Mar-20,77
"Asia, Europe",Georgia,26-Feb-20,Azerbaijan,1,No Trace,12-Mar-20,67
South America,Brazil,26-Feb-20,Italy,1,61,10-Apr-20,15
