,Province/State,Country/Region,Lat,Long,date,confirmed_cases,deaths_cases,recovered_cases,Anual Average Temperature (C),Anual Average High Temperature (C),Anual Average Low Temperature (C),Month Average Temperature (C),Month Average High Temperature (C),Month Average Low Temperature (C)
0,,Afghanistan,33.0,65.0,1/22/20,0.0,0.0,0.0,14.055555555555554,22.277777777777775,8.055555555555555,0.8888888888888896,8.055555555555555,-3.5555555555555545
1,,Albania,41.1533,20.1683,1/22/20,0.0,0.0,0.0,14.166666666666666,19.166666666666668,11.222222222222223,5.888888888888889,10.0,4.166666666666667
2,,Algeria,28.0339,1.6596,1/22/20,0.0,0.0,0.0,17.444444444444443,24.0,12.222222222222221,9.166666666666666,14.888888888888888,4.555555555555557
3,,Andorra,42.5063,1.5218,1/22/20,0.0,0.0,0.0,5.666666666666668,10.222222222222221,0.9999999999999984,-1.2777777777777781,2.2222222222222223,-5.055555555555556
4,,Angola,-11.2027,17.8739,1/22/20,0.0,0.0,0.0,21.277777777777775,27.77777777777778,15.88888888888889,22.388888888888886,27.88888888888889,17.83333333333333
5,,Antigua and Barbuda,17.0608,-61.7964,1/22/20,0.0,0.0,0.0,26.44444444444444,28.555555555555557,23.88888888888889,24.611111111111107,27.22222222222222,22.333333333333336
6,,Argentina,-38.4161,-63.6167,1/22/20,0.0,0.0,0.0,17.388888888888886,22.83333333333333,10.277777777777777,23.833333333333336,29.666666666666668,16.333333333333332
7,,Armenia,40.0691,45.0382,1/22/20,0.0,0.0,0.0,7.055555555555557,13.944444444444445,0.38888888888889045,-6.277777777777778,0.055555555555556344,-12.222222222222221
8,Australian Capital Territory,Australia,-35.4735,149.0124,1/22/20,0.0,0.0,0.0,17.444444444444443,23.444444444444446,11.61111111111111,23.000000000000004,29.444444444444443,16.77777777777778
9,New South Wales,Australia,-33.8688,151.2093,1/22/20,0.0,0.0,0.0,17.444444444444443,23.444444444444446,11.61111111111111,23.000000000000004,29.444444444444443,16.77777777777778
10,Northern Territory,Australia,-12.4634,130.8456,1/22/20,0.0,0.0,0.0,17.444444444444443,23.444444444444446,11.61111111111111,23.000000000000004,29.444444444444443,16.77777777777778
11,Queensland,Australia,-28.0167,153.4,1/22/20,0.0,0.0,0.0,17.444444444444443,23.444444444444446,11.61111111111111,23.000000000000004,29.444444444444443,16.77777777777778
12,South Australia,Australia,-34.9285,138.6007,1/22/20,0.0,0.0,0.0,17.444444444444443,23.444444444444446,11.61111111111111,23.000000000000004,29.444444444444443,16.77777777777778
13,Tasmania,Australia,-41.4545,145.9707,1/22/20,0.0,0.0,0.0,17.444444444444443,23.444444444444446,11.61111111111111,23.000000000000004,29.444444444444443,16.77777777777778
14,Victoria,Australia,-37.8136,144.9631,1/22/20,0.0,0.0,0.0,17.444444444444443,23.444444444444446,11.61111111111111,23.000000000000004,29.444444444444443,16.77777777777778
15,Western Australia,Australia,-31.9505,115.8605,1/22/20,0.0,0.0,0.0,17.444444444444443,23.444444444444446,11.61111111111111,23.000000000000004,29.444444444444443,16.77777777777778
16,,Austria,47.5162,14.5501,1/22/20,0.0,0.0,0.0,7.000000000000001,12.333333333333334,2.999999999999999,-2.666666666666667,1.4444444444444453,-5.611111111111112
17,,Azerbaijan,40.1431,47.5769,1/22/20,0.0,0.0,0.0,12.999999999999998,17.333333333333336,7.000000000000001,0.9999999999999984,4.11111111111111,-4.222222222222223
18,,Bahamas,25.0343,-77.3963,1/22/20,0.0,0.0,0.0,24.833333333333336,28.499999999999996,21.888888888888893,21.555555555555554,24.944444444444446,18.555555555555557
19,,Bahrain,26.0275,50.55,1/22/20,0.0,0.0,0.0,25.833333333333332,29.611111111111107,23.388888888888886,16.11111111111111,18.88888888888889,14.166666666666666
20,,Bangladesh,23.685,90.3563,1/22/20,0.0,0.0,0.0,25.33333333333333,29.944444444444446,20.72222222222222,18.666666666666664,25.166666666666664,12.222222222222221
21,,Belize,13.1939,-59.5432,1/22/20,0.0,0.0,0.0,,,,,,
22,,Belarus,53.7098,27.9534,1/22/20,0.0,0.0,0.0,5.9444444444444455,10.944444444444446,2.5,-6.333333333333332,-2.000000000000001,-7.722222222222221
23,,Belgium,50.8333,4.0,1/22/20,0.0,0.0,0.0,9.333333333333332,13.055555555555555,5.555555555555555,1.7777777777777792,4.222222222222223,-0.6666666666666663
24,,Benin,9.3077,2.3158,1/22/20,0.0,0.0,0.0,26.944444444444443,32.05555555555556,22.444444444444446,26.888888888888893,33.22222222222222,21.11111111111111
25,,Bhutan,27.5142,90.4336,1/22/20,0.0,0.0,0.0,15.61111111111111,20.999999999999996,10.277777777777777,7.444444444444444,13.88888888888889,0.9999999999999984
26,,Bolivia,-16.2902,-63.5887,1/22/20,0.0,0.0,0.0,17.166666666666664,24.555555555555557,10.333333333333334,18.94444444444444,24.888888888888886,13.277777777777777
27,,Bosnia and Herzegovina,43.9159,17.6791,1/22/20,0.0,0.0,0.0,9.888888888888888,14.11111111111111,5.888888888888889,0.22222222222222143,2.999999999999999,-2.666666666666667
28,,Brazil,-14.235,-51.9253,1/22/20,0.0,0.0,0.0,24.499999999999996,30.833333333333332,19.944444444444446,25.611111111111107,31.888888888888893,21.055555555555557
29,,Brunei,4.5353,114.7277,1/22/20,0.0,0.0,0.0,27.22222222222222,30.833333333333332,23.333333333333332,26.666666666666664,29.72222222222222,23.61111111111111
30,,Bulgaria,42.7339,25.4858,1/22/20,0.0,0.0,0.0,9.666666666666666,15.166666666666664,6.333333333333332,-0.7222222222222227,3.333333333333333,-3.3888888888888897
31,,Burkina Faso,12.2383,-1.5616,1/22/20,0.0,0.0,0.0,28.27777777777778,34.111111111111114,22.5,24.833333333333336,32.22222222222222,18.111111111111107
32,,Cabo Verde,16.5388,-23.0418,1/22/20,0.0,0.0,0.0,22.666666666666664,26.666666666666664,21.11111111111111,20.555555555555554,24.666666666666668,18.61111111111111
33,,Cambodia,11.55,104.9167,1/22/20,0.0,0.0,0.0,26.999999999999996,31.999999999999996,23.22222222222222,25.166666666666664,31.055555555555557,20.38888888888889
34,,Cameroon,3.8480000000000003,11.5021,1/22/20,0.0,0.0,0.0,23.833333333333336,29.0,18.94444444444444,23.722222222222225,29.833333333333336,17.5
35,Alberta,Canada,53.9333,-116.5765,1/22/20,0.0,0.0,,3.333333333333333,8.444444444444446,-1.7777777777777772,-11.055555555555555,-6.388888888888888,-15.61111111111111
36,British Columbia,Canada,49.2827,-123.1207,1/22/20,0.0,0.0,,3.333333333333333,8.444444444444446,-1.7777777777777772,-11.055555555555555,-6.388888888888888,-15.61111111111111
37,Grand Princess,Canada,37.6489,-122.6655,1/22/20,0.0,0.0,,3.333333333333333,8.444444444444446,-1.7777777777777772,-11.055555555555555,-6.388888888888888,-15.61111111111111
38,Manitoba,Canada,53.7609,-98.8139,1/22/20,0.0,0.0,,3.333333333333333,8.444444444444446,-1.7777777777777772,-11.055555555555555,-6.388888888888888,-15.61111111111111
39,New Brunswick,Canada,46.5653,-66.4619,1/22/20,0.0,0.0,,3.333333333333333,8.444444444444446,-1.7777777777777772,-11.055555555555555,-6.388888888888888,-15.61111111111111
40,Newfoundland and Labrador,Canada,53.1355,-57.6604,1/22/20,0.0,0.0,,3.333333333333333,8.444444444444446,-1.7777777777777772,-11.055555555555555,-6.388888888888888,-15.61111111111111
41,Nova Scotia,Canada,44.681999999999995,-63.7443,1/22/20,0.0,0.0,,3.333333333333333,8.444444444444446,-1.7777777777777772,-11.055555555555555,-6.388888888888888,-15.61111111111111
42,Ontario,Canada,51.2538,-85.3232,1/22/20,0.0,0.0,,3.333333333333333,8.444444444444446,-1.7777777777777772,-11.055555555555555,-6.388888888888888,-15.61111111111111
43,Prince Edward Island,Canada,46.5107,-63.4168,1/22/20,0.0,0.0,,3.333333333333333,8.444444444444446,-1.7777777777777772,-11.055555555555555,-6.388888888888888,-15.61111111111111
44,Quebec,Canada,52.9399,-73.5491,1/22/20,0.0,0.0,,3.333333333333333,8.444444444444446,-1.7777777777777772,-11.055555555555555,-6.388888888888888,-15.61111111111111
45,Saskatchewan,Canada,52.9399,-106.4509,1/22/20,0.0,0.0,,3.333333333333333,8.444444444444446,-1.7777777777777772,-11.055555555555555,-6.388888888888888,-15.61111111111111
46,,Central African Republic,6.6111,20.9394,1/22/20,0.0,0.0,0.0,24.888888888888886,31.611111111111114,19.333333333333332,24.611111111111107,33.166666666666664,17.27777777777778
47,,Chad,15.4542,18.7322,1/22/20,0.0,0.0,0.0,27.277777777777775,35.55555555555556,20.666666666666668,23.833333333333336,34.166666666666664,15.444444444444443
48,,Chile,-35.6751,-71.543,1/22/20,0.0,0.0,0.0,12.277777777777779,17.666666666666664,8.277777777777777,16.666666666666668,22.77777777777778,11.944444444444445
49,Anhui,China,31.8257,117.2264,1/22/20,1.0,0.0,0.0,12.944444444444443,16.61111111111111,6.166666666666667,-0.5555555555555556,2.7222222222222214,-7.777777777777778
50,Beijing,China,40.1824,116.4142,1/22/20,14.0,0.0,0.0,12.944444444444443,16.61111111111111,6.166666666666667,-0.5555555555555556,2.7222222222222214,-7.777777777777778
51,Chongqing,China,30.0572,107.874,1/22/20,6.0,0.0,0.0,12.944444444444443,16.61111111111111,6.166666666666667,-0.5555555555555556,2.7222222222222214,-7.777777777777778
52,Fujian,China,26.0789,117.9874,1/22/20,1.0,0.0,0.0,12.944444444444443,16.61111111111111,6.166666666666667,-0.5555555555555556,2.7222222222222214,-7.777777777777778
53,Gansu,China,37.8099,101.0583,1/22/20,0.0,0.0,0.0,12.944444444444443,16.61111111111111,6.166666666666667,-0.5555555555555556,2.7222222222222214,-7.777777777777778
54,Guangdong,China,23.3417,113.4244,1/22/20,26.0,0.0,0.0,12.944444444444443,16.61111111111111,6.166666666666667,-0.5555555555555556,2.7222222222222214,-7.777777777777778
55,Guangxi,China,23.8298,108.7881,1/22/20,2.0,0.0,0.0,12.944444444444443,16.61111111111111,6.166666666666667,-0.5555555555555556,2.7222222222222214,-7.777777777777778
56,Guizhou,China,26.8154,106.8748,1/22/20,1.0,0.0,0.0,12.944444444444443,16.61111111111111,6.166666666666667,-0.5555555555555556,2.7222222222222214,-7.777777777777778
57,Hainan,China,19.1959,109.7453,1/22/20,4.0,0.0,0.0,12.944444444444443,16.61111111111111,6.166666666666667,-0.5555555555555556,2.7222222222222214,-7.777777777777778
58,Hebei,China,39.549,116.1306,1/22/20,1.0,0.0,0.0,12.944444444444443,16.61111111111111,6.166666666666667,-0.5555555555555556,2.7222222222222214,-7.777777777777778
59,Heilongjiang,China,47.861999999999995,127.7615,1/22/20,0.0,0.0,0.0,12.944444444444443,16.61111111111111,6.166666666666667,-0.5555555555555556,2.7222222222222214,-7.777777777777778
60,Henan,China,33.882,113.61399999999999,1/22/20,5.0,0.0,0.0,12.944444444444443,16.61111111111111,6.166666666666667,-0.5555555555555556,2.7222222222222214,-7.777777777777778
61,Hong Kong,China,22.3,114.2,1/22/20,0.0,0.0,0.0,12.944444444444443,16.61111111111111,6.166666666666667,-0.5555555555555556,2.7222222222222214,-7.777777777777778
62,Hubei,China,30.9756,112.2707,1/22/20,444.0,17.0,28.0,12.944444444444443,16.61111111111111,6.166666666666667,-0.5555555555555556,2.7222222222222214,-7.777777777777778
63,Hunan,China,27.6104,111.7088,1/22/20,4.0,0.0,0.0,12.944444444444443,16.61111111111111,6.166666666666667,-0.5555555555555556,2.7222222222222214,-7.777777777777778
64,Inner Mongolia,China,44.0935,113.9448,1/22/20,0.0,0.0,0.0,12.944444444444443,16.61111111111111,6.166666666666667,-0.5555555555555556,2.7222222222222214,-7.777777777777778
65,Jiangsu,China,32.9711,119.455,1/22/20,1.0,0.0,0.0,12.944444444444443,16.61111111111111,6.166666666666667,-0.5555555555555556,2.7222222222222214,-7.777777777777778
66,Jiangxi,China,27.614,115.7221,1/22/20,2.0,0.0,0.0,12.944444444444443,16.61111111111111,6.166666666666667,-0.5555555555555556,2.7222222222222214,-7.777777777777778
67,Jilin,China,43.6661,126.1923,1/22/20,0.0,0.0,0.0,12.944444444444443,16.61111111111111,6.166666666666667,-0.5555555555555556,2.7222222222222214,-7.777777777777778
68,Liaoning,China,41.2956,122.6085,1/22/20,2.0,0.0,0.0,12.944444444444443,16.61111111111111,6.166666666666667,-0.5555555555555556,2.7222222222222214,-7.777777777777778
69,Macau,China,22.1667,113.55,1/22/20,1.0,0.0,0.0,12.944444444444443,16.61111111111111,6.166666666666667,-0.5555555555555556,2.7222222222222214,-7.777777777777778
70,Ningxia,China,37.2692,106.1655,1/22/20,1.0,0.0,0.0,12.944444444444443,16.61111111111111,6.166666666666667,-0.5555555555555556,2.7222222222222214,-7.777777777777778
71,Qinghai,China,35.7452,95.9956,1/22/20,0.0,0.0,0.0,12.944444444444443,16.61111111111111,6.166666666666667,-0.5555555555555556,2.7222222222222214,-7.777777777777778
